Doc#	student	project	course	faculty	
133:	0	0	0	1
134:	1	0	0	0
135:	1	1	1	0
136:	1	0	1	1
137:	1	0	0	0
138:	0	1	0	0
139:	1	0	1	0
140:	1	0	1	0
141:	1	0	0	0
142:	0	0	0	1
143:	0	1	0	0
144:	1	0	1	0
145:	0	0	0	1
146:	1	0	1	0
147:	0	1	0	0
148:	0	1	0	0
149:	1	0	1	0
150:	0	0	0	1
151:	1	0	0	0
152:	0	0	1	0
153:	1	0	0	0
154:	0	1	1	0
155:	1	0	1	0
156:	0	0	1	1
157:	0	0	0	1
158:	1	0	1	0
159:	1	0	1	0
160:	0	1	0	0
161:	0	0	0	1
162:	1	1	0	0
163:	0	1	0	0
164:	0	1	0	0
165:	1	0	1	0
166:	1	1	0	0
167:	1	0	1	0
168:	0	1	1	0
169:	1	0	0	0
170:	0	1	0	0
171:	1	0	0	0
172:	1	0	0	0
173:	0	1	1	0
174:	1	0	1	0
175:	0	1	0	0
176:	1	0	0	0
177:	0	0	0	1
178:	1	0	1	0
179:	0	0	1	1
180:	0	1	0	0
181:	1	0	0	0
182:	1	0	0	0
183:	1	0	1	1
184:	1	0	0	0
185:	1	1	0	0
186:	1	0	0	0
187:	0	0	0	1
188:	1	0	0	0
189:	1	0	1	0
190:	1	0	1	1
191:	0	1	1	0
192:	1	0	0	0
193:	0	0	1	0
194:	0	0	0	1
195:	0	0	0	1
196:	1	0	1	0
197:	0	0	0	1
198:	0	0	0	1
199:	0	0	1	1
200:	0	0	0	1
201:	1	0	0	1
202:	0	0	1	0
203:	1	1	1	0
204:	1	0	0	1
205:	1	0	0	0
206:	0	0	0	1
207:	1	0	0	0
208:	1	0	0	1
209:	0	0	1	1
210:	1	0	1	0
211:	1	0	0	1
212:	1	0	0	0
213:	0	1	0	0
214:	0	0	0	1
215:	0	0	1	1
216:	1	0	0	0
217:	0	0	1	0
218:	1	0	1	0
219:	0	1	0	0
220:	1	0	0	0
221:	0	0	0	1
222:	0	0	0	1
223:	0	0	0	1
224:	1	1	1	0
225:	0	0	1	1
226:	0	0	1	0
227:	0	1	1	0
228:	0	0	0	1
229:	1	0	0	0
230:	1	0	0	0
231:	1	0	1	0
232:	1	0	0	0
233:	1	0	0	0
234:	1	1	0	0
235:	1	0	0	0
236:	0	0	0	1
237:	1	0	0	0
238:	1	0	0	0
239:	1	0	1	0
240:	1	1	0	0
241:	1	1	0	0
242:	1	1	1	0
243:	1	0	0	0
244:	1	0	0	1
245:	0	0	0	1
246:	0	0	0	1
247:	0	0	0	1
248:	0	0	1	0
249:	1	0	0	0
250:	0	1	0	0
251:	1	0	0	1
252:	0	0	0	1
253:	1	0	0	0
254:	0	1	0	0
255:	1	0	1	0
256:	1	0	1	0
257:	0	0	0	1
258:	0	0	1	0
259:	0	0	1	0
260:	0	0	0	1
261:	0	0	1	1
262:	0	0	0	1
263:	0	0	0	1
264:	0	0	0	1
265:	0	0	0	1
266:	1	0	0	0
267:	0	0	0	1
268:	1	0	1	0
269:	1	0	1	0
270:	0	1	0	0
271:	0	0	0	1
272:	1	0	1	0
273:	0	1	0	0
274:	1	0	0	0
275:	1	0	1	0
276:	1	0	0	0
277:	1	0	0	0
278:	1	0	1	0
279:	1	1	0	0
280:	1	0	1	0
281:	1	0	1	0
282:	1	0	1	1
283:	0	1	0	0
284:	0	0	1	1
285:	1	0	0	0
286:	1	0	0	1
287:	0	0	0	1
288:	1	1	0	0
289:	1	0	0	0
290:	1	1	1	0
291:	1	1	1	0
292:	1	0	0	0
293:	1	0	0	0
294:	0	0	0	1
295:	1	0	1	0
296:	0	1	0	0
297:	0	0	0	1
298:	0	0	0	1
299:	0	0	1	1
300:	1	1	1	0
301:	0	0	0	1
302:	0	1	0	0
303:	1	0	1	0
304:	0	1	0	0
305:	0	1	0	0
306:	1	0	1	0
307:	0	0	0	1
308:	0	0	0	1
309:	0	1	1	0
310:	0	0	0	1
311:	0	0	1	0
312:	0	0	1	0
313:	1	1	0	0
314:	1	0	0	1
315:	1	0	0	1
316:	0	0	0	1
317:	1	0	0	0
318:	0	1	0	0
319:	1	0	0	0
320:	0	0	0	1
321:	1	1	1	0
322:	1	0	0	0
323:	1	0	0	0
324:	0	1	0	0
325:	0	0	1	0
326:	0	1	0	0
327:	1	1	0	0
328:	0	0	1	1
329:	0	0	0	1
330:	0	0	0	1
331:	1	0	1	0
332:	0	0	0	1
333:	1	0	1	0
334:	0	1	0	0
335:	0	0	1	0
336:	0	1	0	0
337:	0	0	1	0
338:	0	0	0	1
339:	0	1	1	0
340:	1	0	1	0
341:	1	0	0	1
342:	1	1	1	0
343:	1	0	0	0
344:	0	1	0	0
345:	0	0	1	1
346:	0	1	0	0
347:	1	0	0	0
348:	1	0	0	0
349:	0	0	1	1
350:	0	0	0	1
351:	0	1	0	0
352:	0	0	0	1
353:	1	1	1	0
354:	1	0	0	0
355:	1	0	0	0
356:	1	0	0	0
357:	0	0	0	1
358:	1	0	0	0
359:	1	1	0	0
360:	0	0	1	1
361:	0	1	0	0
362:	1	0	1	0
363:	0	1	0	0
364:	1	0	1	0
365:	1	0	0	0
366:	0	1	0	0
367:	1	0	0	0
368:	0	0	1	0
369:	1	0	0	0
370:	1	0	0	0
371:	0	0	1	1
372:	1	0	0	0
373:	1	0	0	0
374:	0	0	0	1
375:	1	0	0	0
376:	0	0	0	1
377:	1	0	0	0
378:	1	0	0	0
379:	1	0	1	1
380:	1	0	0	0
381:	0	1	0	0
382:	0	0	0	1
383:	0	1	0	0
384:	1	0	0	1
385:	1	1	1	0
386:	1	0	1	0
387:	1	0	0	0
388:	1	1	1	0
389:	1	0	1	0
390:	0	0	0	1
391:	0	1	0	0
392:	1	0	1	0
393:	0	1	0	0
394:	1	1	1	0
395:	1	0	1	0
396:	0	1	1	0
397:	1	0	1	1
398:	1	1	1	0
399:	1	0	0	0
400:	1	0	1	0
401:	0	1	0	0
402:	1	0	0	0
403:	1	0	1	0
404:	1	0	1	0
405:	1	0	1	0
406:	1	0	0	0
407:	0	1	1	0
408:	1	0	0	0
409:	1	0	1	0
410:	0	0	0	1
411:	1	0	0	0
412:	0	1	0	0
413:	0	0	0	1
414:	0	0	1	1
415:	1	0	1	0
416:	1	0	1	0
417:	0	1	0	0
418:	1	0	0	0
419:	0	0	1	0
420:	1	0	1	0
421:	0	0	0	1
422:	1	0	0	0
423:	1	0	0	0
424:	0	0	0	1
425:	1	1	0	0
426:	0	0	0	1
427:	1	0	1	0
428:	1	1	1	0
429:	1	0	0	0
430:	1	0	0	0
431:	0	0	1	1
432:	0	1	1	0
433:	0	0	1	0
434:	0	0	0	1
435:	1	1	1	0
436:	0	0	0	1
437:	0	1	0	0
438:	1	0	1	0
439:	0	0	0	1
440:	1	0	0	0
441:	1	0	1	0
442:	1	0	0	0
443:	1	0	0	0
444:	1	1	1	0
445:	1	0	0	0
446:	1	0	1	1
447:	0	0	0	1
448:	1	0	1	0
449:	0	1	1	0
450:	1	0	0	0
451:	1	0	0	0
452:	0	0	0	1
453:	0	1	0	0
454:	1	0	0	0
455:	1	0	1	0
456:	0	0	0	1
457:	1	0	1	0
458:	1	0	0	0
459:	1	0	1	0
460:	1	0	0	0
461:	1	1	0	0
462:	0	0	1	0
463:	1	0	1	1
464:	0	0	1	1
465:	1	0	0	0
466:	0	1	0	0
467:	1	0	0	0
468:	1	0	1	1
469:	1	0	0	0
470:	0	0	1	0
471:	1	0	0	1
472:	1	0	0	0
473:	0	1	0	0
474:	0	0	0	1
475:	1	0	0	0
476:	1	0	1	0
477:	1	0	0	0
478:	0	1	0	0
479:	1	0	1	0
480:	1	0	0	0
481:	1	0	1	0
482:	1	0	0	0
483:	1	1	0	0
484:	1	0	0	0
485:	1	0	1	0
486:	1	0	0	1
487:	1	0	1	1
488:	1	1	1	0
489:	1	0	1	0
490:	1	0	0	0
491:	1	0	0	0
492:	0	0	0	1
493:	0	0	1	0
494:	1	0	1	0
495:	0	1	0	0
496:	1	0	0	0
497:	1	0	0	0
498:	1	0	1	0
499:	1	1	0	0
500:	0	1	1	0
501:	0	0	1	1
502:	0	1	0	0
503:	0	0	1	0
504:	0	0	0	1
505:	1	1	1	0
506:	1	1	1	0
507:	0	0	1	0
508:	1	0	0	0
509:	0	1	1	0
510:	1	0	0	0
511:	0	0	0	1
512:	1	0	0	0
513:	1	0	0	0
514:	1	1	1	0
515:	1	0	0	0
516:	0	0	0	1
517:	1	0	1	0
518:	0	0	0	1
519:	1	0	0	0
520:	1	0	0	0
521:	0	0	1	1
522:	1	0	1	0
523:	0	0	0	1
524:	1	0	0	0
525:	1	1	1	0
526:	1	0	0	0
527:	0	0	0	1
528:	0	0	1	1
529:	1	0	1	0
530:	0	1	0	0
531:	0	0	1	0
532:	1	0	0	0
533:	0	0	1	0
534:	0	0	1	1
535:	1	0	1	0
536:	1	0	0	0
537:	0	1	0	0
538:	0	1	0	0
539:	1	0	0	0
540:	0	0	0	1
541:	1	0	0	0
542:	0	1	0	0
543:	1	0	1	0
544:	1	0	1	0
545:	0	1	0	0
546:	0	1	1	0
547:	0	1	0	0
548:	1	0	1	1
549:	0	1	1	0
550:	0	1	0	0
551:	1	0	0	0
552:	0	0	1	0
553:	0	0	1	0
554:	1	0	0	0
555:	1	0	0	0
556:	0	1	0	0
557:	1	0	0	0
558:	1	0	0	0
559:	1	1	0	0
560:	1	0	1	0
561:	0	0	1	1
562:	1	0	0	0
563:	1	0	1	1
564:	1	0	0	0
565:	1	1	1	0
566:	1	0	0	0
567:	0	1	0	0
568:	1	0	0	1
569:	1	0	0	0
570:	1	0	0	0
571:	0	0	0	1
572:	0	0	0	1
573:	0	0	0	1
574:	0	1	1	0
575:	1	0	0	0
576:	1	0	1	0
577:	1	1	0	0
578:	0	0	0	1
579:	1	1	0	0
580:	1	0	0	0
581:	0	0	1	0
582:	0	0	0	1
583:	1	0	0	0
584:	0	0	0	1
585:	0	0	0	1
586:	0	0	0	1
587:	0	0	0	1
588:	1	0	0	0
589:	1	0	0	1
590:	1	0	0	0
591:	1	0	1	0
592:	0	0	0	1
593:	1	0	0	0
594:	1	1	1	0
595:	0	0	1	1
596:	1	0	1	0
597:	1	1	1	0
598:	0	0	1	1
599:	1	0	0	0
600:	1	0	1	0
601:	0	0	0	1
602:	1	0	1	0
603:	0	0	0	1
604:	1	0	1	0
605:	0	1	0	0
606:	1	0	0	0
607:	1	0	1	0
608:	0	0	0	1
609:	1	0	1	0
610:	1	0	1	0
611:	1	0	1	0
612:	0	1	1	0
613:	1	0	0	0
614:	1	0	0	0
615:	1	0	0	0
616:	0	1	1	0
617:	1	0	0	0
618:	1	0	1	0
619:	0	0	1	1
620:	0	1	0	0
621:	0	0	0	1
622:	0	0	1	1
623:	1	1	0	0
624:	1	1	1	0
625:	1	1	0	0
626:	0	1	1	0
627:	0	0	1	0
628:	0	0	0	1
629:	1	0	0	0
630:	1	0	0	0
631:	1	0	0	0
632:	1	0	0	0
633:	1	1	0	0
634:	0	0	0	1
635:	1	0	0	1
636:	1	0	0	0
637:	0	0	1	0
638:	1	1	0	0
639:	1	0	0	0
640:	0	0	1	0
641:	1	1	0	0
642:	1	0	0	0
643:	1	0	0	0
644:	1	0	1	1
645:	0	0	0	1
646:	1	0	0	1
647:	1	0	0	0
648:	0	0	1	0
649:	1	0	0	0
650:	1	1	1	0
651:	0	0	0	1
652:	1	0	0	0
653:	1	0	0	1
654:	1	0	0	0
655:	0	0	1	1
656:	0	0	1	0
657:	0	1	1	0
658:	0	0	0	1
659:	1	0	0	0
660:	0	0	1	1
661:	0	0	1	0
662:	0	1	1	0
663:	0	0	0	1
664:	0	1	0	0
665:	1	0	0	0
666:	1	0	0	0
667:	0	1	0	0
668:	0	0	0	1
669:	1	0	0	0
670:	0	1	0	0
671:	1	0	1	0
672:	0	0	1	1
673:	0	0	0	1
674:	0	1	1	0
675:	1	0	0	0
676:	1	0	0	0
677:	1	0	0	0
678:	1	0	1	0
679:	1	0	0	0
680:	0	0	0	1
681:	1	0	0	0
682:	1	0	1	0
683:	1	0	0	0
684:	1	0	1	1
685:	0	0	0	1
686:	0	0	1	1
687:	0	0	0	1
688:	1	0	1	0
689:	1	0	1	1
690:	1	0	0	0
691:	0	1	1	0
692:	1	0	0	0
693:	0	0	1	0
694:	0	0	0	1
695:	1	0	1	0
696:	0	1	1	0
697:	1	0	1	0
698:	1	1	0	0
699:	1	0	0	0
700:	1	0	0	0
701:	0	0	1	1
702:	1	0	0	0
703:	1	0	0	0
704:	0	1	0	0
705:	0	0	0	1
706:	0	0	1	0
707:	0	0	0	1
708:	0	0	1	1
709:	1	0	0	0
710:	1	0	1	0
711:	0	1	0	0
712:	1	0	0	0
713:	0	0	1	0
714:	1	0	0	0
715:	1	0	1	0
716:	0	0	1	1
717:	1	0	0	0
718:	0	0	0	1
719:	0	1	1	0
720:	1	0	0	0
721:	1	0	0	0
722:	1	0	1	0
723:	0	0	0	1
724:	0	0	0	1
725:	1	0	0	0
726:	0	0	0	1
727:	1	0	0	0
728:	0	0	0	1
729:	1	0	1	0
730:	1	1	0	0
731:	1	0	1	1
732:	1	1	0	0
733:	1	0	0	1
734:	0	0	0	1
735:	0	1	0	0
736:	1	0	0	0
737:	0	1	0	0
738:	0	1	0	0
739:	1	0	0	0
740:	0	0	1	1
741:	1	0	1	0
742:	0	1	1	0
743:	0	0	0	1
744:	1	1	0	0
745:	0	0	0	1
746:	1	1	0	0
747:	1	0	1	0
748:	1	1	0	0
749:	0	1	0	0
750:	0	0	0	1
751:	0	1	0	0
752:	0	0	0	1
753:	0	1	1	0
754:	0	0	1	0
755:	1	0	0	0
756:	0	1	0	0
757:	1	0	0	0
758:	0	0	0	1
759:	1	1	1	0
760:	0	0	0	1
761:	1	1	1	0
762:	1	0	0	0
763:	0	0	0	1
764:	1	0	1	0
765:	0	0	0	1
766:	1	0	0	0
767:	0	1	0	0
768:	0	0	1	0
769:	1	0	1	0
770:	1	0	1	1
771:	1	0	1	0
772:	1	0	0	0
773:	0	0	1	1
774:	0	1	0	0
775:	1	0	0	0
776:	1	0	1	0
777:	1	1	1	0
778:	0	0	1	1
779:	1	0	0	0
780:	1	0	1	0
781:	0	0	0	1
782:	1	0	1	0
783:	0	0	1	1
784:	1	0	0	0
785:	1	0	0	0
786:	0	0	1	0
787:	0	1	0	0
788:	0	0	0	1
789:	0	1	0	0
790:	1	0	1	0
791:	1	0	0	0
792:	1	0	0	0
793:	0	0	1	0
794:	1	0	0	0
795:	1	0	0	0
796:	1	0	0	0
797:	1	1	0	0
798:	1	0	0	0
799:	1	1	1	0
800:	0	1	0	0
801:	0	1	0	0
802:	0	1	1	0
803:	1	0	0	0
804:	0	0	1	0
805:	1	0	0	0
806:	1	0	0	0
807:	1	1	0	0
808:	1	0	0	0
809:	0	1	0	0
810:	1	0	0	0
811:	1	0	0	1
812:	1	0	0	0
813:	0	0	0	1
814:	1	0	0	0
815:	0	0	0	1
816:	1	0	0	0
817:	0	1	0	0
818:	1	0	1	0
819:	1	0	1	0
820:	0	0	1	1
821:	1	0	0	0
822:	0	0	0	1
823:	1	0	0	0
824:	0	0	1	1
825:	1	0	0	0
826:	0	0	1	1
827:	1	1	0	0
828:	0	0	1	0
829:	1	0	0	0
830:	1	0	0	0
831:	1	0	1	0
832:	1	0	0	0
833:	1	0	1	0
834:	0	1	0	0
835:	1	0	0	0
836:	1	0	0	0
837:	1	1	0	0
838:	1	0	1	0
839:	0	1	0	0
840:	1	0	1	0
841:	1	1	1	0
842:	1	0	0	0
843:	1	0	0	1
844:	1	0	0	0
845:	0	1	0	0
846:	0	0	0	1
847:	1	0	1	0
848:	1	0	0	0
849:	0	1	0	0
850:	0	0	1	1
851:	0	0	1	1
852:	1	0	0	1
853:	0	0	0	1
854:	0	1	1	0
855:	1	0	0	0
856:	1	0	1	0
857:	1	0	0	0
858:	0	0	0	1
859:	0	0	0	1
860:	1	0	0	0
861:	1	0	0	0
862:	0	1	0	0
863:	1	0	0	0
864:	0	1	0	0
865:	1	0	0	0
866:	0	0	0	1
867:	0	0	1	0
868:	1	0	0	0
869:	0	0	1	0
870:	1	1	0	0
871:	1	0	0	1
872:	1	0	0	0
873:	1	0	1	0
874:	0	1	0	0
875:	0	0	0	1
876:	1	0	0	0
877:	1	1	0	0
878:	1	0	0	0
879:	1	0	1	0
880:	0	0	0	1
881:	0	0	1	0
882:	0	0	0	1
883:	1	0	0	0
884:	0	1	0	0
885:	1	0	0	0
886:	1	0	0	0
887:	1	0	0	0
888:	1	0	0	0
889:	1	0	0	0
890:	1	0	1	0
891:	0	1	0	0
892:	1	0	0	1
893:	1	0	1	0
894:	1	0	0	0
895:	0	1	0	0
896:	0	0	0	1
897:	0	1	0	0
898:	0	0	0	1
899:	0	0	1	0
900:	0	0	0	1
901:	1	0	0	0
902:	1	0	1	0
903:	0	1	1	0
904:	1	0	1	0
905:	1	0	1	0
906:	0	1	0	0
907:	1	0	0	0
908:	1	0	0	0
909:	1	0	0	1
910:	1	0	0	0
911:	0	0	1	1
912:	1	0	1	0
913:	0	0	0	1
914:	0	1	0	0
915:	1	0	0	0
916:	1	0	0	0
917:	1	1	1	0
918:	1	0	0	0
919:	1	0	0	0
920:	0	0	0	1
921:	1	0	1	0
922:	1	0	0	0
923:	1	1	0	0
924:	0	0	1	0
925:	0	0	1	0
926:	0	0	1	1
927:	0	0	0	1
928:	1	0	1	0
929:	0	0	0	1
930:	1	0	1	1
931:	0	1	0	0
932:	1	0	0	0
933:	0	0	1	1
934:	0	0	0	1
935:	0	1	0	0
936:	1	0	1	0
937:	1	0	0	0
938:	1	0	1	1
939:	1	0	1	0
940:	0	0	0	1
941:	0	1	1	0
942:	1	0	0	0
943:	1	0	0	0
944:	1	0	1	0
945:	1	0	0	0
946:	0	1	0	0
947:	1	0	0	0
948:	0	0	0	1
949:	1	0	0	0
950:	0	0	0	1
951:	1	0	1	1
952:	0	0	0	1
953:	1	0	0	0
954:	1	0	0	0
955:	1	0	0	0
956:	1	0	1	0
957:	1	1	0	0
958:	1	0	0	0
959:	1	0	0	1
960:	0	1	1	0
961:	1	0	1	0
962:	1	0	0	0
963:	1	0	0	0
964:	0	1	1	0
965:	0	0	0	1
966:	0	0	1	1
967:	0	1	0	0
968:	0	1	0	0
969:	0	0	0	1
970:	0	0	0	1
971:	0	1	0	0
972:	1	0	1	0
973:	0	0	0	1
974:	1	1	0	0
975:	1	0	0	0
976:	0	1	0	0
977:	0	0	1	0
978:	0	0	1	0
979:	1	0	1	0
980:	1	0	1	0
981:	0	1	1	0
982:	1	0	1	0
983:	0	0	0	1
984:	1	0	1	0
985:	0	1	1	0
986:	1	0	0	1
987:	1	0	0	0
988:	0	0	0	1
989:	0	0	0	1
990:	0	0	0	1
991:	0	1	1	0
992:	1	0	0	0
993:	1	0	0	0
994:	0	0	0	1
995:	1	0	0	0
996:	0	0	0	1
997:	0	1	0	0
998:	1	0	1	0
999:	1	0	1	0
1000:	1	1	0	0
1001:	1	1	0	0
1002:	1	0	0	0
1003:	1	0	1	0
1004:	0	1	0	0
1005:	0	0	1	0
1006:	0	0	0	1
1007:	0	0	0	1
1008:	1	1	0	0
1009:	1	0	0	0
1010:	1	0	0	0
1011:	1	1	0	0
1012:	0	0	0	1
1013:	1	0	0	0
1014:	1	0	0	0
1015:	0	1	0	0
1016:	0	0	1	0
1017:	1	0	0	0
1018:	0	0	0	1
1019:	1	0	0	0
1020:	1	0	0	0
1021:	1	0	1	0
1022:	1	0	0	0
1023:	0	1	0	0
1024:	1	0	1	0
1025:	1	0	0	0
1026:	0	0	0	1
1027:	1	0	0	0
1028:	1	0	0	0
1029:	1	0	1	0
1030:	1	0	1	1
1031:	1	0	0	0
1032:	0	0	1	0
1033:	0	0	1	0
1034:	1	0	1	0
1035:	1	0	0	0
1036:	0	0	1	0
1037:	1	0	1	0
1038:	1	1	1	0
1039:	1	0	0	0
1040:	1	0	1	1
1041:	1	0	0	0
1042:	0	0	1	0
1043:	1	0	1	0
1044:	0	1	0	0
1045:	1	0	0	0
1046:	1	0	1	0
1047:	0	0	0	1
1048:	1	0	0	0
1049:	0	0	0	1
1050:	1	1	0	0
1051:	1	0	0	0
1052:	0	1	0	0
1053:	0	1	0	0
1054:	0	0	1	0
1055:	1	0	1	0
1056:	1	0	1	0
1057:	0	0	1	0
1058:	0	1	0	0
1059:	0	0	0	1
1060:	1	1	0	0
1061:	0	1	1	0
1062:	1	0	0	0
1063:	1	0	1	1
1064:	0	1	0	0
1065:	1	0	0	0
1066:	1	0	1	0
1067:	1	0	0	0
1068:	0	0	1	0
1069:	1	0	0	0
1070:	1	0	0	0
1071:	0	0	0	1
1072:	0	1	0	0
1073:	0	0	0	1
1074:	0	0	0	1
1075:	0	0	0	1
1076:	0	0	0	1
1077:	0	1	1	0
1078:	0	1	0	0
1079:	0	0	0	1
1080:	0	0	0	1
1081:	0	1	1	0
1082:	1	0	0	1
1083:	1	1	0	0
1084:	1	0	0	1
1085:	0	1	1	0
1086:	1	0	1	0
1087:	0	0	0	1
1088:	1	0	0	0
1089:	0	1	0	0
1090:	1	0	0	0
1091:	0	0	0	1
1092:	0	0	1	1
1093:	0	1	0	0
1094:	1	0	0	0
1095:	1	0	1	0
1096:	1	0	1	0
1097:	0	1	0	0
1098:	1	0	0	0
1099:	0	0	1	0
1100:	1	0	1	1
1101:	1	0	0	0
1102:	1	0	0	0
1103:	1	1	1	0
1104:	0	0	0	1
1105:	0	0	0	1
1106:	0	0	0	1
1107:	0	0	0	1
1108:	0	1	1	0
1109:	0	0	0	1
1110:	1	0	0	0
1111:	0	0	1	0
1112:	1	1	0	0
1113:	1	0	1	0
1114:	0	0	1	0
1115:	1	0	0	0
1116:	0	0	0	1
1117:	1	0	0	0
1118:	0	1	0	0
1119:	1	0	1	0
1120:	1	1	0	0
1121:	0	0	1	0
1122:	0	0	0	1
1123:	0	0	0	1
1124:	0	1	1	0
1125:	1	0	1	0
1126:	1	0	1	0
1127:	0	0	1	1
1128:	0	0	1	1
1129:	1	1	0	0
1130:	0	0	0	1
1131:	0	1	0	0
1132:	0	0	0	1
1133:	1	0	1	1
1134:	0	0	1	1
1135:	1	0	0	0
1136:	0	0	0	1
1137:	1	0	0	0
1138:	1	0	0	0
1139:	1	0	0	0
1140:	0	0	1	1
1141:	1	0	0	0
1142:	1	0	0	0
1143:	1	0	1	1
1144:	1	0	1	0
1145:	1	0	0	0
1146:	1	0	0	0
1147:	1	1	0	0
1148:	1	1	0	0
1149:	0	1	0	0
1150:	0	0	0	1
1151:	0	1	0	0
1152:	1	0	0	0
1153:	0	0	1	0
1154:	0	1	0	0
1155:	0	0	1	1
1156:	1	0	0	0
1157:	0	0	1	0
1158:	0	1	1	0
1159:	1	0	1	0
1160:	0	1	0	0
1161:	1	0	0	0
1162:	1	0	0	0
1163:	0	1	0	0
1164:	1	0	1	1
1165:	1	0	0	0
1166:	1	0	1	1
1167:	0	1	0	0
1168:	1	0	0	0
1169:	0	1	1	0
1170:	1	0	0	0
1171:	1	0	0	0
1172:	0	0	1	1
1173:	0	1	0	0
1174:	1	0	0	0
1175:	1	0	0	0
1176:	1	0	0	0
1177:	0	0	0	1
1178:	1	0	0	0
1179:	1	0	0	0
1180:	0	0	1	0
1181:	0	1	0	0
1182:	1	0	0	0
1183:	1	0	0	0
1184:	0	0	1	0
1185:	1	0	1	0
1186:	0	1	0	0
1187:	1	0	0	0
1188:	0	0	0	1
1189:	0	0	1	1
1190:	1	1	0	0
1191:	0	0	1	0
1192:	0	0	1	1
1193:	1	0	1	0
1194:	0	0	0	1
1195:	0	0	1	1
1196:	0	1	0	0
1197:	1	0	1	0
1198:	0	0	0	1
1199:	0	0	1	0
1200:	0	0	1	0
1201:	1	0	0	0
1202:	1	0	0	1
1203:	1	0	1	0
1204:	1	0	1	0
1205:	1	0	1	0
1206:	1	0	0	0
1207:	1	1	0	0
1208:	1	0	1	0
1209:	1	0	0	0
1210:	0	1	0	0
1211:	1	0	0	0
1212:	0	0	1	0
1213:	0	0	1	0
1214:	1	1	0	0
1215:	0	0	1	0
1216:	0	1	0	0
1217:	0	1	0	0
1218:	1	0	1	0
1219:	0	0	1	1
1220:	0	0	1	0
1221:	1	0	1	0
1222:	0	1	0	0
1223:	1	0	1	0
1224:	1	0	0	0
1225:	1	0	0	0
1226:	0	1	0	0
1227:	0	1	0	0
1228:	1	0	1	0
1229:	0	1	0	0
1230:	1	0	1	0
1231:	0	0	0	1
1232:	1	0	1	1
1233:	0	0	0	1
1234:	0	1	1	0
1235:	1	0	0	0
1236:	1	0	0	0
1237:	1	0	0	1
1238:	1	0	0	1
1239:	0	1	1	0
1240:	1	0	0	0
1241:	1	0	0	0
1242:	0	1	0	0
1243:	0	0	1	0
1244:	0	0	1	1
1245:	0	1	0	0
1246:	0	0	1	0
1247:	0	0	1	1
